identifier	XCOOR	YCOOR
Hapalemur griseus	47.45	-21.35
Hapalemur simus	47.38333	-21.23333
Hapalemur simus	47.45	-21.35
Hapalemur simus	47.38333	-21.23333
Hapalemur aureus	47.45	-21.35
Hapalemur griseus	48.427	-18.792
Hapalemur griseus	48.467	-18.702
Hapalemur griseus	48.578	-18.198
Hapalemur griseus	48.813	-18.695
Hapalemur griseus	48.76667	-17.7
Hapalemur griseus	47.43333	-21.26667
Hapalemur griseus	47.01667	-24.96667
Hapalemur griseus	47.46667	-21.26667
Hapalemur aureus	47.46667	-21.26667
Hapalemur griseus	47.46667	-21.26667
Hapalemur griseus	47.46667	-21.26667
Hapalemur simus	47.63333	-21.3
Hapalemur aureus	47.46667	-21.26667
Hapalemur griseus	48.46667	-18.46667
Hapalemur griseus	49.43588	-15.40098
Hapalemur griseus	49.52945	-15.22608
Hapalemur griseus	49.584	-15.03528
Hapalemur griseus	49.6143	-15.1882
Hapalemur griseus	46.89921	-18.77407
Hapalemur griseus	46.89921	-18.77407
Hapalemur griseus	47	-19
Hapalemur griseus	47	-19
Hapalemur griseus	49.73333	-15.38333
Hapalemur griseus	49.73333	-15.38333
Lemur catta	44.67902	-23.59346
Lemur catta	44.71953	-23.63417
Lemur catta	45.34195	-22.56456
Lemur catta	45.34195	-22.56456
Lemur catta	46.79282	-21.79881
Lemur catta	46.3	-25
Lemur catta	46.3	-25
Lemur catta	46.3	-25
Lemur catta	46.3	-25
Lemur catta	46.3	-25
Lemur catta	46.3	-25
Lemur catta	46.3	-25
Lemur catta	46.3	-25
Lemur catta	46.3	-25
Lemur catta	46.3	-25
Lemur catta	43.9	-23.4333
Lemur catta	43.9	-23.4333
Lemur catta	47	-19
Lemur catta	47	-19
Lemur catta	47	-19
Lemur catta	47	-19
Lemur catta	47	-19
Lemur catta	47	-19
Varecia variegata	48.51149	-18.8871
Varecia rubra	50.08106	-15.70243
Varecia variegata	49.69736	-15.50451
Varecia variegata	48.427	-18.792
Varecia variegata	48.467	-18.702
Varecia variegata	48.578	-18.198
Varecia variegata	48.813	-18.695
Varecia variegata	49.6	-15.76667
Varecia variegata	48.76667	-17.7
Varecia variegata	48.76667	-17.7
Varecia variegata	48.76667	-17.7
Varecia variegata	48.76667	-17.7
Varecia variegata	48.76667	-17.7
Varecia variegata	47	-19
Varecia variegata	47	-19
Varecia variegata	47	-19
Varecia variegata	47	-19
Varecia variegata	47	-19
Varecia rubra	49.6143	-15.1882
Varecia variegata	47	-19
Varecia rubra	49.584	-15.03528
Varecia variegata	47	-19
Varecia variegata	47	-19
Varecia variegata	49.43588	-15.40098
Varecia variegata	49.53488	-15.4393
Varecia variegata	47	-19
Varecia variegata	49.54745	-15.29067
Varecia variegata	47	-19
Varecia variegata	49.52945	-15.22608
Varecia variegata	47	-19
Varecia variegata	47	-19
Varecia variegata	47	-19
Varecia variegata	47	-19
Lepilemur edwardsi	46.8742	-16.23781
Lepilemur microdon	47.41047	-21.2649
Lepilemur mustelinus	49.092	-18.048
Lepilemur mustelinus	48.427	-18.792
Lepilemur mustelinus	48.467	-18.702
Lepilemur mustelinus	48.578	-18.198
Lepilemur mustelinus	47.13333	-16.21667
Lepilemur edwardsi	47.143	-16.229
Lepilemur edwardsi	47.143	-16.229
Lepilemur edwardsi	46.963	-16.227
Lepilemur edwardsi	46.793	-16.338
Lepilemur edwardsi	46.793	-16.338
Lepilemur edwardsi	47.143	-16.229
Lepilemur mustelinus	47.13333	-16.21667
Lepilemur edwardsi	46.963	-16.227
Lepilemur mustelinus	47.13333	-16.21667
Lepilemur mustelinus	46.3	-25
Lepilemur mustelinus	46.3	-25
Lepilemur septentrionalis	49.1	-12.91667
Lepilemur septentrionalis	49.1	-12.91667
Lepilemur septentrionalis	49.1	-12.91667
Lepilemur mustelinus	44.66184	-18.46209
Lepilemur microdon	49.6143	-15.1882
Lepilemur microdon	49.43588	-15.40098
Lepilemur microdon	49.52945	-15.22608
Lepilemur microdon	49.584	-15.03528
