"identifier"	"homepolygon"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Lepilemur edwardsi"	"Dry Forest"
"Lepilemur microdon"	"Moist Forest"
"Lepilemur mustelinus"	"Moist Forest"
"Lepilemur mustelinus"	"Moist Forest"
"Lepilemur mustelinus"	"Moist Forest"
"Lepilemur mustelinus"	"Moist Forest"
"Lepilemur mustelinus"	"Dry Forest"
"Lepilemur edwardsi"	"Dry Forest"
"Lepilemur edwardsi"	"Dry Forest"
"Lepilemur edwardsi"	"Dry Forest"
"Lepilemur edwardsi"	"Dry Forest"
"Lepilemur edwardsi"	"Dry Forest"
"Lepilemur edwardsi"	"Dry Forest"
"Lepilemur mustelinus"	"Dry Forest"
"Lepilemur edwardsi"	"Dry Forest"
"Lepilemur mustelinus"	"Dry Forest"
"Lepilemur mustelinus"	"Shrublands"
"Lepilemur mustelinus"	"Shrublands"
"Lepilemur septentrionalis"	"Dry Forest"
"Lepilemur septentrionalis"	"Dry Forest"
"Lepilemur septentrionalis"	"Dry Forest"
"Lepilemur mustelinus"	"Dry Forest"
"Lepilemur microdon"	"Moist Forest"
"Lepilemur microdon"	"Moist Forest"
"Lepilemur microdon"	"Moist Forest"
"Lepilemur microdon"	"Moist Forest"
